code,obs,N,K,prob,avg,sd
210980,12,9,1.3,0.75,0.0116675235698455,0.0134286159573753
330590,11,3,0.9,0.545454545454545,0.00545670597379394,0.0126728427897823
000670,13,11,0.6,0.769230769230769,0.00575411024876219,0.0110810113191293
057050,11,13,1.1,0.545454545454545,0.00337817459274768,0.0146076711823767
241590,17,5,1.3,0.588235294117647,0.0052658993045699,0.0352835891867168
006040,12,7,1,0.833333333333333,0.012485898304833,0.0226285241377499
081000,15,4,1.2,0.533333333333333,-0.00170576012098304,0.0346909477122133
016380,17,3,0.9,0.647058823529412,0.0259980698636461,0.0560220517743885
079160,26,4,0.5,0.538461538461538,0.00100748149460618,0.0145045018066987
170900,13,13,1,0.769230769230769,0.00199284450541271,0.0145927574595825
003850,17,8,1.4,0.588235294117647,0.00179323950600488,0.0274460882657234
000640,11,18,0.9,0.909090909090909,0.0153033668090249,0.0132480152560995
114090,11,11,1.3,0.818181818181818,0.0114128930098458,0.0196305676097427
105630,11,6,0.5,0.818181818181818,0.0170252550630436,0.0229272224370031
005440,14,7,0.7,0.714285714285714,0.00363699611817405,0.016915538555677
005850,11,12,0.5,0.636363636363636,0.0119809785907329,0.0231304232407022
064960,11,15,0.5,0.727272727272727,0.0166100106815366,0.0184696810413921
001060,12,10,0.7,0.583333333333333,0.000375570695365794,0.0220912538883059
278540,24,3,0.9,0.583333333333333,0.00225735553188322,0.0094298063050804
103140,15,4,1.1,0.533333333333333,0.00625559602236348,0.0164629053899838
003240,13,9,0.5,0.615384615384615,0.00763595396876978,0.0264260433089637
152100,12,21,2,0.666666666666667,0.00402235498232158,0.0110338429865369
020000,12,8,0.6,0.666666666666667,0.00522562106723612,0.020128678551331
009450,15,8,1.2,0.733333333333333,0.0134463970474299,0.0261025077737334
192400,11,11,0.5,0.818181818181818,0.0177228541857386,0.021534116902245
097230,11,10,1,0.727272727272727,0.0174531866722938,0.0361274197548053
033660,13,16,1.3,0.692307692307692,0.0162008507082039,0.0364731470057925
